DAY: 0:🚢 3 ⏪️ 163|0 ⏪️ Porto 0
DAY: 1:🚢 0 ⏪️ 168|1 ⏪️ Porto 1
DAY: 1:🚢 4 ⏪️ 179|0 ⏪️ Porto 2
DAY: 2:🚢 1 ⏪️ 118|2 ⏪️ Porto 0
DAY: 2:🚢 2 ⏪️ 280|3 ⏪️ Porto 2
DAY: 4:🚢 1 ⏪️ 182|0 ⏪️ Porto 2
DAY: 4:🚢 3 ⏪️ 114|1 ⏪️ Porto 3
DAY: 4:🚢 2 ⏪️ 20|2 ⏪️ Porto 3
DAY: 4:🚢 0 ⏪️ 132|2 ⏪️ Porto 0
DAY: 4:🚢 3 ⏪️ 23|2 ⏪️ Porto 3
DAY: 4:🚢 4 ⏪️ 121|1 ⏪️ Porto 1
DAY: 6:🚢 1 ⏩️ 182|0 ⏩️ Porto 3
DAY: 6:🚢 3 ⏩️ 23|2 ⏩️ Porto 2
DAY: 6:🚢 2 ⏩️ 20|2 ⏩️ Porto 2
DAY: 7:🚢 1 ⏪️ 182|3 ⏪️ Porto 2
DAY: 8:🚢 3 ⏩️ 114|1 ⏩️ Porto 2
DAY: 8:🚢 4 ⏩️ 121|1 ⏩️ Porto 2
DAY: 8:🚢 0 ⏩️ 132|2 ⏩️ Porto 2
DAY: 8:🚢 0 ⏩️ 168|1 ⏩️ Porto 2
DAY: 9:🚢 2 ⏪️ 20|2 ⏪️ Porto 3
DAY: 10:🚢 1 ⏩️ 118|2 ⏩️ Porto 2
DAY: 12:🚢 0 ⏪️ 300|1 ⏪️ Porto 3
DAY: 12:🚢 3 ⏪️ 137|2 ⏪️ Porto 3
DAY: 12:🚢 4 ⏪️ 121|1 ⏪️ Porto 3
DAY: 12:🚢 1 ⏪️ 118|0 ⏪️ Porto 2
